0 160 17196 188 214973
1 203 8714 304 686150
2 231 15416 327 547903
3 50 2000 76 182730
4 4 374 4 374
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 1 40 0 0
11 1 40 1 40
12 4 374 4 374
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0 0
17 0 0 0 0
18 0 0 0 0
19 0 0 0 0
20 0 0 0 0
21 0 0 0 0
22 1 40 1 40
23 0 0 0 0
24 0 0 0 0
25 0 0 0 0
26 0 0 0 0
27 81 10268 88 50323
28 194 9269 265 627011
29 83 3413 86 275618
30 158 9765 205 380196
31 91 5362 117 288897
32 0 0 0 0
33 1 73 0 0
34 0 0 0 0
35 1 73 0 0
36 0 0 0 0
37 1 73 0 0
38 0 0 0 0
39 43 4743 40 4484
40 0 0 0 0
41 1 73 0 0
42 0 0 0 0
43 1 73 0 0
44 0 0 0 0
45 1 73 0 0
46 0 0 0 0
47 1 73 0 0
48 0 0 0 0
49 3 153 0 0
50 2 80 2 80
51 1 73 0 0
52 0 0 0 0
53 1 73 0 0
54 0 0 0 0
55 1 73 0 0
56 0 0 0 0
57 1 73 0 0
58 0 0 0 0
59 2 145 1 72
60 6 426 6 426
61 1 73 0 0
62 25 1404 24 1092
63 24 3693 28 24232
64 184 12477 260 534137
65 133 7138 191 458773
66 199 11361 276 609759
67 1 73 0 0
68 0 0 0 0
69 1 73 0 0
70 0 0 0 0
71 1 73 0 0
72 0 0 0 0
73 2 145 1 72
74 0 0 0 0
75 1 73 0 0
76 70 8547 68 23262
77 93 14195 91 34046
78 23 5525 29 5900
79 17 2008 16 7905
80 8 642 8 642
81 102 13961 98 53052
82 26 1968 26 18958
83 57 4190 63 118546
84 51 2674 58 113147
85 7 1001 5 2980
86 55 5418 60 75989
87 76 3230 78 176880
88 87 3480 136 303728
89 128 5309 217 486520
90 126 5040 203 620624
91 121 4840 208 619376
92 86 3440 139 407644
93 152 14083 172 284205
94 166 7128 249 668125
95 223 14644 312 560777
96 34 1360 53 106060
97 2 80 2 80
98 1 40 1 40
99 1 40 1 40
100 0 0 0 0
101 0 0 0 0
102 2 80 2 80
103 2 112 2 112
104 0 0 0 0
105 0 0 0 0
106 0 0 0 0
107 2 80 2 80
108 1 40 1 40
109 1 40 1 40
110 0 0 0 0
111 0 0 0 0
112 2 80 2 80
113 1 40 1 40
114 0 0 0 0
115 0 0 0 0
116 0 0 0 0
117 2 80 2 80
118 1 40 1 40
119 1 40 1 40
120 0 0 0 0
121 31 3837 32 38985
122 66 3874 63 147058
123 174 21627 172 92327
124 176 10078 257 551434
125 146 10876 208 479912
126 26 1266 39 112182
127 87 6876 105 150045
128 168 12700 217 390970
129 89 5791 113 202908
130 11 1894 11 4656
131 2 80 3 966
132 0 0 0 0
133 3 120 1 40
134 2 80 2 80
135 12 1302 12 1012
136 10 974 10 1190
137 2 119 2 119
138 3 159 3 159
139 1 40 1 40
140 0 0 0 0
141 2 108 2 104
142 0 0 0 0
143 1 40 1 40
144 2 80 2 80
145 0 0 0 0
146 2 80 0 0
147 2 80 2 80
148 2 112 2 112
149 1 40 1 40
150 0 0 0 0
151 1 86 1 40
152 1 40 1 86
153 1 40 1 40
154 2 80 2 80
155 1 73 0 0
156 0 0 0 0
